order_id,line_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct
PO-20260112-003,1,2026-01-12,C003,P004,16,12.00,0.00
PO-20260112-003,2,2026-01-12,C002,P003,3,12.00,0.05
PO-20260112-003,3,2026-01-12,C001,P002,11,3.75,0.15
PO-20260112-004,1,2026-01-12,C002,P001,8,5.00,0.00
PO-20260113-001,1,2026-01-13,C004,P004,14,3.75,0.15
PO-20260113-001,2,2026-01-13,C004,P001,2,2.50,0.10
PO-20260113-002,1,2026-01-13,C003,P003,13,5.00,0.00
PO-20260113-002,2,2026-01-13,C002,P004,13,5.00,0.15
PO-20260113-002,3,2026-01-13,C004,P001,8,3.75,0.10
PO-20260113-003,1,2026-01-13,C002,P004,11,12.00,0.10
PO-20260113-003,2,2026-01-13,C001,P004,5,7.50,0.15
PO-20260113-004,1,2026-01-13,C001,P004,19,12.00,0.00
PO-20260113-004,2,2026-01-13,C001,P003,5,5.00,0.00
PO-20260113-004,3,2026-01-13,C004,P003,13,3.75,0.00
PO-20260114-001,1,2026-01-14,C003,P001,13,3.75,0.10
PO-20260114-001,2,2026-01-14,C001,P003,16,1.25,0.15
PO-20260114-002,1,2026-01-14,C001,P002,3,12.00,0.00
PO-20260114-003,1,2026-01-14,C002,P002,1,7.50,0.00
PO-20260114-004,1,2026-01-14,C004,P003,4,7.50,0.00
PO-20260114-004,2,2026-01-14,C001,P002,12,2.50,0.15
