invoice_no,row_no,invoice_date,retailer_code,sku,units,selling_price,discount_percent
AO-20260106-002,2,06/01/2026,R-13,SKU-A2,19,7.50,0
AO-20260106-002,3,06/01/2026,R-12,SKU-A3,19,1.25,0
AO-20260106-003,1,06/01/2026,R-13,SKU-A2,15,3.75,0
AO-20260106-003,2,06/01/2026,R-12,SKU-A2,16,1.25,10
AO-20260106-003,3,06/01/2026,R-11,SKU-A2,11,3.75,0
AO-20260106-004,1,06/01/2026,R-13,SKU-A1,16,3.75,10
AO-20260106-004,2,06/01/2026,R-12,SKU-A2,15,1.25,5
AO-20260107-001,1,07/01/2026,R-13,SKU-A3,13,7.50,0
AO-20260107-002,1,07/01/2026,R-13,SKU-A2,14,1.25,0
AO-20260107-002,2,07/01/2026,R-11,SKU-A1,20,5.00,10
AO-20260107-003,1,07/01/2026,R-12,SKU-A3,18,2.50,5
AO-20260107-003,2,07/01/2026,R-13,SKU-A3,16,1.25,0
AO-20260107-004,1,07/01/2026,R-11,SKU-A3,6,3.75,15
AO-20260108-001,1,08/01/2026,R-12,SKU-A1,3,2.50,0
AO-20260108-001,2,08/01/2026,R-13,SKU-A3,5,5.00,5
AO-20260108-002,1,08/01/2026,R-11,SKU-A2,14,5.00,10
AO-20260108-002,2,08/01/2026,R-11,SKU-A3,18,2.50,10
AO-20260108-003,1,08/01/2026,R-12,SKU-A2,5,1.25,5
AO-20260108-003,2,08/01/2026,R-12,SKU-A3,17,3.75,0
AO-20260108-003,3,08/01/2026,R-13,SKU-A2,10,7.50,15
AO-20260108-004,1,08/01/2026,R-12,SKU-A2,15,7.50,10
AO-20260109-001,1,09/01/2026,R-12,SKU-A1,18,5.00,10
AO-20260109-001,2,09/01/2026,R-11,SKU-A2,8,7.50,10
AO-20260109-001,3,09/01/2026,R-13,SKU-A2,2,3.75,10
AO-20260109-002,1,09/01/2026,R-11,SKU-A3,5,5.00,0
AO-20260109-002,2,09/01/2026,R-12,SKU-A1,19,3.75,0
AO-20260109-003,1,09/01/2026,R-12,SKU-A3,15,1.25,0
AO-20260109-003,2,09/01/2026,R-12,SKU-A2,5,1.25,10
AO-20260109-003,3,09/01/2026,R-13,SKU-A1,20,12.00,10
AO-20260109-004,1,09/01/2026,R-13,SKU-A3,18,5.00,5
AO-20260109-004,2,09/01/2026,R-13,SKU-A1,16,7.50,0
AO-20260110-001,1,10/01/2026,R-12,SKU-A1,10,2.50,0
AO-20260110-002,1,10/01/2026,R-13,SKU-A2,4,5.00,0
AO-20260110-002,2,10/01/2026,R-11,SKU-A2,1,1.25,5
AO-20260110-002,3,10/01/2026,R-11,SKU-A1,12,3.75,10
AO-20260110-003,1,10/01/2026,R-11,SKU-A1,14,7.50,0
AO-20260110-003,2,10/01/2026,R-13,SKU-A3,3,7.50,10
AO-20260110-003,3,10/01/2026,R-11,SKU-A1,8,5.00,15
AO-20260110-004,1,10/01/2026,R-13,SKU-A1,9,5.00,5
AO-20260110-004,2,10/01/2026,R-11,SKU-A1,15,3.75,15
AO-20260111-001,1,11/01/2026,R-13,SKU-A2,12,7.50,5
AO-20260111-001,2,11/01/2026,R-11,SKU-A2,9,5.00,5
AO-20260111-002,1,11/01/2026,R-13,SKU-A2,4,2.50,10
AO-20260111-002,2,11/01/2026,R-11,SKU-A3,19,3.75,5
AO-20260111-003,1,11/01/2026,R-13,SKU-A3,9,1.25,15
AO-20260111-003,2,11/01/2026,R-12,SKU-A1,2,7.50,10
AO-20260111-004,1,11/01/2026,R-13,SKU-A2,12,2.50,0
AO-20260111-004,2,11/01/2026,R-13,SKU-A3,5,12.00,0
AO-20260111-004,3,11/01/2026,R-11,SKU-A3,2,3.75,10
AO-20260112-001,1,12/01/2026,R-12,SKU-A3,5,1.25,5
AO-20260112-001,2,12/01/2026,R-11,SKU-A3,14,2.50,0
AO-20260112-002,1,12/01/2026,R-11,SKU-A2,17,7.50,5
AO-20260112-002,2,12/01/2026,R-11,SKU-A2,16,3.75,5
AO-20260112-003,1,12/01/2026,R-13,SKU-A2,5,2.50,10
AO-20260112-004,1,12/01/2026,R-13,SKU-A1,13,1.25,5
AO-20260113-001,1,13/01/2026,R-13,SKU-A2,12,12.00,5
AO-20260113-001,2,13/01/2026,R-12,SKU-A1,12,1.25,0
AO-20260113-002,1,13/01/2026,R-11,SKU-A3,18,3.75,15
AO-20260113-002,2,13/01/2026,R-13,SKU-A2,3,12.00,10
AO-20260113-002,3,13/01/2026,R-11,SKU-A1,14,1.25,0
AO-20260113-003,1,13/01/2026,R-11,SKU-A3,16,1.25,0
AO-20260113-003,2,13/01/2026,R-12,SKU-A3,5,5.00,10
AO-20260113-004,1,13/01/2026,R-13,SKU-A3,18,5.00,15
AO-20260113-004,2,13/01/2026,R-12,SKU-A3,5,5.00,0
AO-20260113-004,3,13/01/2026,R-13,SKU-A2,14,3.75,0
AO-20260114-001,1,14/01/2026,R-12,SKU-A1,15,5.00,0
AO-20260114-002,1,14/01/2026,R-11,SKU-A2,12,7.50,5
AO-20260114-002,2,14/01/2026,R-12,SKU-A1,9,2.50,0
AO-20260114-002,3,14/01/2026,R-11,SKU-A1,7,12.00,15
AO-20260114-003,1,14/01/2026,R-11,SKU-A1,8,2.50,15
AO-20260114-003,2,14/01/2026,R-11,SKU-A1,18,2.50,15
AO-20260114-004,1,14/01/2026,R-12,SKU-A1,5,7.50,0
AO-20260114-004,2,14/01/2026,R-11,SKU-A1,5,7.50,5
